case_key,model,mode,question_id,question,category,language,badness_score,human_quality,answer_acceptance,over_answering_risk,primary_failure_tag,secondary_failure_tag,word_token_count,char_count,word_repeated_1gram_count,word_distinct_1gram_ratio,word_repeated_2gram_count,word_distinct_2gram_ratio,word_repeated_3gram_count,word_distinct_3gram_ratio,word_repeated_4gram_count,word_distinct_4gram_ratio,word_repeated_5gram_count,word_distinct_5gram_ratio,word_repeated_6gram_count,word_distinct_6gram_ratio,sentence_count,repeated_sentence_count,copy_dump_hint,answer_preview
s30_018__agentic,Qwen/Qwen3.5-0.8B,agentic,s30_018,MIURA先生って、どの日本語の授業を担当していますか？レベルも少し知りたいです。,course,ja,38.17,0.625,1.0,0.0,verbose_low_quality,missing_key_condition,309,719,264,0.14563106796116504,231,0.25,210,0.31596091205211724,192,0.37254901960784315,186,0.3901639344262295,181,0.40460526315789475,6,0,0,"MIURA 先生は、JLP012 課程の J2 日本語授業を担当しています。 [1] 課程記録のタイトル「J2: Japanese / 日本語 J2 / 1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F / H-354」および「Instructor: MIURA, Ayano」が明確に記載されています。 [2] 課程記録のタイトル「J2: Japanese / 日本語 J2 / 1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F / H-354」および「Instructor: MIURA, Ayano」が明確に記載されています。 [3] 課程記録のタイトル「J2: Japanese / 日本語 J2 / 1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F / H-354」および「Instructor: MIURA, Ayano/KO"
s30_028__agentic,Qwen/Qwen3.5-0.8B,agentic,s30_028,鏑木先生が担当している授業は何ですか？,course,ja,35.0,0.25,0.0,2.0,unsupported_claim,citation_mismatch,31,102,9,0.7096774193548387,3,0.9,1,0.9655172413793104,0,1.0,0,1.0,0,1.0,3,0,0,"鏑木先生が担当している授業は「Introduction to Musicology / 音楽学入門 / 3/M,3/W,3/F」です。 この授業は SATO, Nozomi 教授が担当しています。 [1]"
s30_022__single_shot,Qwen/Qwen3.5-0.8B,single_shot,s30_022,What is the mandatory course I need to take after entering ICU?,curriculum,en,32.5,0.375,0.0,2.0,unsupported_claim,over_answering,76,434,22,0.7105263157894737,2,0.9733333333333334,0,1.0,0,1.0,0,1.0,0,1.0,2,0,0,"Based on the provided evidence, the mandatory course required after entering ICU is **Global Governance** (Course No: GLS101). This is confirmed by the following evidence: [1] The syllabus for Global Governance explicitly states that access to the course is limited to users with an ICU Net ID and provides contact information for the Learning Accessibility Services regarding reasonable accommodations for students with"
s30_017__single_shot,Qwen/Qwen3.5-0.8B,single_shot,s30_017,"I remember there is a class called Statistical Information Literacy. How is the grade evaluated, and what kind of work does the syllabus seem to require?",course,en,32.29,0.375,1.0,1.0,unsupported_claim,citation_mismatch,233,903,159,0.31759656652360513,98,0.5775862068965517,60,0.7402597402597403,38,0.8347826086956521,28,0.8777292576419214,21,0.9078947368421053,6,0,0,"Based on the provided evidence, the grade evaluation for **Statistical Information Literacy** (Course S2: GES039) is determined by the following components: * **Exam (20%):** The syllabus explicitly states that the exam consists of **60% of the total grade** (100% - 40% - 20% - 20%). * **Report (40%):** The syllabus requires students to submit a **Report** (40% of the total grade). * **Daily quiz (20%):** Students mu"
s30_026__agentic,Qwen/Qwen3.5-0.8B,agentic,s30_026,Can I use ChatGPT for my senior thesis at ICU?,policy,en,31.1,0.625,1.0,1.0,verbose_low_quality,over_answering,195,1024,115,0.41025641025641024,68,0.6494845360824743,57,0.7046632124352331,52,0.7291666666666666,48,0.7486910994764397,44,0.7684210526315789,7,0,0,"No, you cannot use ChatGPT for your senior thesis at ICU. While the course syllabus (Evidence [4] and [5]) explicitly states that students must abide by ICU Generative AI policies and that unauthorized use of generative AI constitutes a breach of academic integrity (E grade), the provided evidence does not explicitly confirm that ChatGPT is a specific tool that violates these policies. Evidence [1] and [2] mention th"
s30_025__agentic,Qwen/Qwen3.5-0.8B,agentic,s30_025,大学の卒論にチャットGPTを使っても大丈夫ですか？,policy,ja,27.8,0.375,1.0,2.0,unsupported_claim,over_answering,93,603,49,0.4731182795698925,20,0.782608695652174,14,0.8461538461538461,11,0.8777777777777778,8,0.9101123595505618,5,0.9431818181818182,9,0,0,はい、大学の卒論にチャットGPTを使っても大丈夫です。 [1] 報告書・卒論に役立つコンテンツのページでは、学士卒論の作成にChatGPTが有効なツールとして紹介されています。 [2] ICUのアカデミック・インテグリティーの方針では、生成系AIが作成したものを本学における成績評価のための提出物に使用し、他人の作品・考え・研究成果を自分自身のものとして偽ること（剽窃）を禁止しています。 [3] ICUのアカデミック・インテグリティーの方針では、生成系AIが使用しているデータは他人の著作物や発表物、調査結果から成り立っているため、AIが出力する回答自体が、著作権侵害や剽窃である可能性があるとしています。 [4] 国際基督教大学（ICU）の学士卒論のポリシーでは、学生は自分自身で考え、調査研究したものでない情報の出典は、明らかにし、正しく引用することが求められます。また、生成系AIが使用しているデータは他人の著作物や発表物、調査結果
s30_017__agentic,Qwen/Qwen3.5-0.8B,agentic,s30_017,"I remember there is a class called Statistical Information Literacy. How is the grade evaluated, and what kind of work does the syllabus seem to require?",course,en,27.7,0.375,1.0,1.0,language_or_format_failure,missing_key_condition,213,997,126,0.4084507042253521,57,0.7311320754716981,35,0.8341232227488151,24,0.8857142857142857,17,0.9186602870813397,13,0.9375,6,0,0,"The syllabus for **S2: Statistical Information Literacy** (Course No: GES039) requires students to demonstrate specific abilities and skills to pass the course. **Grading Policy** (Exam: 20%, Report: 40%, Daily quiz: 20%, Class participation: 20%) and **Associated abilities** (Ability to form plans, learn creatively, use English/Japanese, data analysis skills) are the core requirements. **General Description** states"
s30_001__single_shot,Qwen/Qwen3.5-0.8B,single_shot,s30_001,"I'm a new student and I plan to take JLP, but I don't know which Japanese level I will be placed into. How is the level decided, and where should I check the official information?",language,en,27.46,0.375,1.0,1.0,missing_key_condition,citation_mismatch,262,1119,171,0.3473282442748092,78,0.7011494252873564,38,0.8538461538461538,19,0.9266409266409267,12,0.9534883720930233,8,0.9688715953307393,21,0,0,"Based on the provided evidence, here is the answer regarding the decision-making process and official information for the JLP level: **Decision Process** The level of the Japanese track is determined by the result of a placement test administered to students. The placement is based on the student's Japanese proficiency level, which is assessed through the placement test. * **Placement Test:** The placement test is th"
s30_011__agentic,Qwen/Qwen3.5-0.8B,agentic,s30_011,"I saw something about Chapel Hour and Christianity Week, but I am not sure whether these are academic events or campus-life events. Where should I check the schedule?",campus_life,en,27.0,0.5,1.0,1.0,missing_key_condition,over_answering,199,870,118,0.40703517587939697,69,0.6515151515151515,45,0.7715736040609137,30,0.8469387755102041,20,0.8974358974358975,13,0.9329896907216495,7,0,0,"Based on the evidence provided, **Chapel Hour** is a campus-life event. * **Evidence [1]** confirms it is a campus-life event by listing it as a service to greet incoming students, wish farewell to graduates, and offer contemplative organ music during Christmastime. * **Evidence [2]** explicitly states that ""No Classes"" are scheduled on specific days, indicating it is a scheduled event. * **Evidence [3]** describes t"
s30_003__single_shot,Qwen/Qwen3.5-0.8B,single_shot,s30_003,"If I want to withdraw from a course after seeing my workload, what rules or deadlines should I check before I make the decision?",registration,en,26.2,0.375,1.0,1.0,missing_key_condition,citation_mismatch,270,1186,142,0.4740740740740741,61,0.7732342007434945,35,0.8694029850746269,14,0.947565543071161,4,0.9849624060150376,0,1.0,12,0,0,"Based on the provided evidence, here are the specific rules and deadlines you should check before making a withdrawal decision: **1. Deadline for Submitting an Application** * **Spring Term:** March 31 * **Autumn Term:** August 31 * **Winter Term:** November 30 * **Note:** The deadline is the previous Friday in case the date falls on a Saturday or Sunday or a national holiday. **2. Approval Requirements** * **Registr"
s30_016__single_shot,Qwen/Qwen3.5-0.8B,single_shot,s30_016,"I want to take Logic Programming in Autumn 2026. Who teaches it, when is it scheduled, and where should I check the official course information?",course,en,26.0,0.5,1.0,1.0,citation_mismatch,unsupported_claim,182,727,105,0.4230769230769231,48,0.7348066298342542,26,0.8555555555555555,10,0.9441340782122905,4,0.9775280898876404,2,0.9887005649717514,11,0,1,"Based on the provided evidence, here is the information regarding the Logic Programming course in Autumn 2026: * **Instructor:** TAMMO M. REISEWITZ * **Term:** Autumn 2026 * **Schedule:** The course is scheduled for **5/TU, 6/TU** (Tuesday and Thursday). * **Location:** The course is taught in person. * **Registration:** Registration is required for students with an ICU Net ID. * **Official Information Source:** The "
s30_014__single_shot,Qwen/Qwen3.5-0.8B,single_shot,s30_014,履修登録について教育事務グループに確認したいです。連絡先や関連する公式ページはどこで確認できますか？,office,ja,25.2,0.5,1.0,1.0,verbose_low_quality,missing_key_condition,173,793,99,0.4277456647398844,53,0.6918604651162791,33,0.8070175438596491,24,0.8588235294117647,17,0.8994082840236687,13,0.9226190476190477,15,0,0,履修登録に関する公式確認方法と連絡先は、以下の情報から確認できます。 [1] 教務グループからの重要なお知らせ（春学期登録版）[1] 教務グループからの重要なお知らせ（春学期登録版） * 履修証明書の申請は、卒業年度最終学期登録日から登録変更期間終了日までの間に申請する必要があります。 * 詳細は 4 月 5 日（金）に ICU Portal お知らせを出していますので、確認してください。 * 問い合わせ先：教務グループ ea-group@icu. ac. jp [2] 教務グループからの重要なお知らせ（春学期登録版）[2] 教務グループからの重要なお知らせ（春学期登録版） * 履修証明書の申請は、卒業年度最終学期登録日から登録変更期間終了日までの間に申請する必要があります。 * 詳細は ICU Portal お知らせを出していますので、確認してください。 jp [3] 履修登録 [3] 履修登録 * 履修登録の手続きは、Reg
s30_010__single_shot,Qwen/Qwen3.5-0.8B,single_shot,s30_010,日本語プログラムを履修したいのですが、JLPのレベル分けや履修方法について、どこで公式情報を確認できますか？,language,ja,25.1,0.375,1.0,2.0,unsupported_claim,verbose_low_quality,149,619,70,0.5302013422818792,12,0.918918918918919,3,0.9795918367346939,2,0.9863013698630136,1,0.993103448275862,0,1.0,8,0,0,JLP の履修方法とレベル分けについては、以下の情報から確認できます。 [1] JLP（日本語教育プログラム）は、ELA生（特に Stream 1 または Stream 2）および総合型選抜の「EJU（日本留学試験）＜4 月/9 月入学＞」により入学した学生を受け入れます。 PT（JLP Placement Test）の結果によって、各科目レベルが決定されます。 PT は毎年 3 月・8 月に実施され、春学期および秋学期の履修登録開始前に実施されます。 [2] 日本語教育プログラム（JLP）の履修要件は、ELP（英語教育プログラム）と JLP の履修要件を合わせた 53 単位（9 月生）または 62 単位（9 月生）となります。 [3] JLP は初めて日本語を学ぶ学生から日本語ネイティブに近い学生まで、多様な教育背景を持つ学生を対象としています。 [4] JLP は CEFR（Common European Framework
s30_009__single_shot,Qwen/Qwen3.5-0.8B,single_shot,s30_009,I am graduating from undergraduate school but continuing to ICU graduate school. What should I know about my IT account or services after graduation?,it,en,23.9,0.5,1.0,1.0,unsupported_claim,missing_key_condition,177,804,81,0.5423728813559322,25,0.8579545454545454,9,0.9485714285714286,3,0.9827586206896551,2,0.9884393063583815,1,0.9941860465116279,8,0,1,"Based on the provided evidence, here is the answer regarding your IT account after graduating from undergraduate school: **Conclusion:** You will need to create a new account for your ICU graduate school using an email address you can use after graduation, as your current account will expire on March 31, 2026. **Evidence:** * [1] Explicitly states: ""If you still need to exchange emails after graduation, We recommend "
s30_019__agentic,Qwen/Qwen3.5-0.8B,agentic,s30_019,履修登録サイトで科目を選択したのに登録が完了したか不安です。どの操作や確認をすればよいですか？,registration,ja,23.9,0.25,1.0,1.0,verbose_low_quality,citation_mismatch,166,1008,87,0.4759036144578313,27,0.8363636363636363,6,0.9634146341463414,3,0.9815950920245399,1,0.9938271604938271,0,1.0,22,0,0,履修登録の完了を不安にしているため、以下の手順を必ず確認してください。 [1] 履修登録は、学期開始前に科目を決定し、その日または翌日に登録を行う必要があります。[2] 登録日に登録が完了していない場合は、Late Registration期間に登録をおこなってください。[3] 登録変更も完了しない限り、登録結果を必ず確認してください。[4] 登録確認は学生本人の責任であり、定められた期間を過ぎて申請しても一切受理しません。[5] 予備登録は、学期開始前に履修科目を決定していることを原則とします。[6] 履修登録では、アドヴァイザーとの面談で承認を得なければなりません。[7] 面談や承認が終わっていない場合は、科目登録が完了していないものとみなされます。[8] 学外からのアクセスによって生じた問題について、大学は一切の責任を負いません。[9] 時間に余裕をもって、また各自の責任においてアクセスしてください。[10] 予備登録 (
s30_004__single_shot,Qwen/Qwen3.5-0.8B,single_shot,s30_004,I am trying to plan my major requirements and study abroad at the same time. Where should I look to confirm whether courses or credits will count toward my ICU requirements?,major,en,23.0,0.5,1.0,1.0,missing_key_condition,verbose_low_quality,115,588,41,0.6434782608695652,7,0.9385964912280702,0,1.0,0,1.0,0,1.0,0,1.0,3,0,1,"Based on the provided evidence, the answer is: You should look at the **Study Abroad (Summer Abroad Programs)** section of the ehandbook to confirm whether courses will count toward ICU requirements. * **Evidence:** [1] explicitly states that students who participated in the summer programs approved by ICU and completed coursework at other universities may transfer credits, if approved to be counted towards ICU's gra"
s30_005__single_shot,Qwen/Qwen3.5-0.8B,single_shot,s30_005,"I am worried about senior thesis deadlines. Where can I find the official schedule, and what kind of thesis-related deadlines should I expect to check?",graduation,en,22.86,0.5,1.0,1.0,citation_mismatch,missing_key_condition,252,1126,152,0.3968253968253968,68,0.7290836653386454,30,0.88,13,0.9477911646586346,5,0.9798387096774194,3,0.9878542510121457,11,0,0,"Based on the provided evidence, here is the answer regarding senior thesis deadlines: **1. Where to find the official schedule:** You can find the official schedule by accessing the **ICU Portal** via the ""Senior Thesis"" course record. The evidence indicates that the schedule is available on the ICU Portal (specifically the ""Course No: STH391"" records). **2. What kind of thesis-related deadlines to expect:** You shou"
s30_004__agentic,Qwen/Qwen3.5-0.8B,agentic,s30_004,I am trying to plan my major requirements and study abroad at the same time. Where should I look to confirm whether courses or credits will count toward my ICU requirements?,major,en,21.3,0.5,1.0,1.0,unsupported_claim,verbose_low_quality,169,843,79,0.5325443786982249,24,0.8571428571428571,14,0.9161676646706587,11,0.9337349397590361,10,0.9393939393939394,9,0.9451219512195121,5,0,0,"To confirm whether courses or credits will count toward your ICU requirements, you should look at the **ICU Study Abroad (Summer Abroad Programs)** handbook, which explicitly states that students who completed coursework at other universities may transfer credits if approved to count toward ICU's graduation requirements [1]. Additionally, the **Study Abroad Program Brochure** confirms that credits earned at partner i"
s30_022__agentic,Qwen/Qwen3.5-0.8B,agentic,s30_022,What is the mandatory course I need to take after entering ICU?,curriculum,en,18.9,0.5,1.0,1.0,missing_key_condition,unsupported_claim,104,483,52,0.5,19,0.8155339805825242,9,0.9117647058823529,3,0.9702970297029703,1,0.99,0,1.0,7,0,0,"After entering ICU, you must complete the following mandatory compulsory courses: 1. **Health Science (Health Education)**: A single unit course. 2. **PE Exercise**: Three units (Physical Education Exercise I, II, and III). These are mandatory for graduation. [1] explicitly states that ""Health Science"" and ""PE Exercise"" are mandatory compulsory courses for graduation. [3] confirms these are mandatory compulsory cours"
s30_018__single_shot,Qwen/Qwen3.5-0.8B,single_shot,s30_018,MIURA先生って、どの日本語の授業を担当していますか？レベルも少し知りたいです。,course,ja,18.3,0.5,1.0,1.0,over_answering,missing_key_condition,43,148,18,0.5813953488372093,6,0.8571428571428571,3,0.926829268292683,1,0.975,0,1.0,0,1.0,4,0,0,MIURA 先生は、以下の 3 つの授業を担当しています。 [1] 中英語（Middle English）を担当しています。 [2] 日本語特別教育 漢字 1（Special Japanese Kanji 1）を担当しています。 [3] J2: Japanese（日本語 J2）を担当しています。
s30_027__single_shot,Qwen/Qwen3.5-0.8B,single_shot,s30_027,我可以在ICU的毕业论文里使用ChatGPT吗？如果资料不够，请明确告诉我。,policy,zh,18.0,0.5,1.0,1.0,language_or_format_failure,over_answering,95,516,27,0.7157894736842105,2,0.9787234042553191,0,1.0,0,1.0,0,1.0,0,1.0,3,0,0,"No, you cannot use ChatGPT in your ICU graduation thesis. According to Evidence [2], unauthorized and unspecified use of generative AI in any stage of writing your senior thesis constitutes a breach of ICU policy on academic integrity, resulting in an E grade. Furthermore, Evidence [3] explicitly states that Google Classroom and Google Chat will serve as platforms for exchange, and Evidence [4] reiterates that reason"
s30_002__single_shot,Qwen/Qwen3.5-0.8B,single_shot,s30_002,"I missed the normal course registration day because I was sick. Can I still register or change my courses, and what part of the procedure should I pay attention to?",registration,en,16.98,0.75,1.0,0.0,missing_key_condition,verbose_low_quality,246,1174,146,0.4065040650406504,67,0.726530612244898,40,0.8360655737704918,24,0.9012345679012346,15,0.9380165289256198,11,0.9543568464730291,12,0,0,"Based on the provided evidence, you can still register or change your courses, but you must follow specific procedural steps to ensure the change is valid. **1. You must complete the registration change procedure before the registration change period ends. ** Evidence [3] explicitly states: ""Those who do not complete the registration during the designated period must take a leave of absence or withdraw from the unive"
s30_003__agentic,Qwen/Qwen3.5-0.8B,agentic,s30_003,"If I want to withdraw from a course after seeing my workload, what rules or deadlines should I check before I make the decision?",registration,en,16.85,0.75,2.0,1.0,over_answering,verbose_low_quality,345,1509,206,0.4028985507246377,98,0.7151162790697675,55,0.8396501457725948,27,0.9210526315789473,13,0.9618768328445748,8,0.9764705882352941,17,0,0,"To withdraw from a course after seeing your workload, you must first check the following rules and deadlines: 1. **Registration Change Period:** You cannot change your registration after the Registration Change period is finished. If you remain absent without completing the necessary procedures for dropping the course, you will receive a failure (F) grade. If you cannot continue your study due to illness or unavoidab"
s30_009__agentic,Qwen/Qwen3.5-0.8B,agentic,s30_009,I am graduating from undergraduate school but continuing to ICU graduate school. What should I know about my IT account or services after graduation?,it,en,16.41,0.75,2.0,1.0,verbose_low_quality,over_answering,327,1442,183,0.44036697247706424,52,0.8404907975460123,22,0.9323076923076923,14,0.9567901234567902,8,0.9752321981424149,3,0.9906832298136646,22,2,0,"You will need to create a new account and manage your IT services after graduation. [1] Your account (ICU Net ID, ICU Portal, Mail, Google Workspace, etc.) will expire on March 31, 2026. If you still need to exchange emails after graduation, we recommend that you use an email address that you can use after graduation, not a @icu.ac.jp email address. Email forwarding also stops. Please backup your necessary files (Gma"
s30_008__single_shot,Qwen/Qwen3.5-0.8B,single_shot,s30_008,"If I need exam accommodations because of a disability or health condition, where should I start, and what kind of official support page should I look for?",student_support,en,16.2,0.75,1.0,0.0,missing_key_condition,citation_mismatch,206,908,121,0.41262135922330095,60,0.7073170731707317,35,0.8284313725490197,24,0.8817733990147784,21,0.8960396039603961,18,0.9104477611940298,5,0,0,"Based on the provided evidence, here is the answer regarding exam accommodations: **Where to start:** You should start by consulting with your **course instructor** and the **Learning Accessibility Services** (学修アクセシビリティ支援室). **What kind of support page to look for:** You should look for the **""Reasonable Accommodations""** section within the **Learning Accessibility Services** page. This page details the types of acc"
