question_id,category,language,avg_human_quality_score,avg_answer_acceptance,avg_citation_usefulness,avg_over_answering_risk,accepted_2_count,n,top_primary_failure_tags,question
s30_017,course,en,0.875,1.75,1.75,0.1667,9,12,none:8; language_or_format_failure:1; unsupported_claim:1; missing_key_condition:1; verbose_low_quality:1,"I remember there is a class called Statistical Information Literacy. How is the grade evaluated, and what kind of work does the syllabus seem to require?"
s30_018,course,ja,0.8229,1.5833,1.8333,0.4167,7,12,none:5; over_answering:4; verbose_low_quality:2; missing_key_condition:1,MIURA先生って、どの日本語の授業を担当していますか？レベルも少し知りたいです。
s30_019,registration,ja,0.9167,1.9167,1.8333,0.0833,11,12,none:10; verbose_low_quality:2,履修登録サイトで科目を選択したのに登録が完了したか不安です。どの操作や確認をすればよいですか？
s30_020,course_materials,en,0.7812,1.5833,1.4167,0.5,7,12,citation_mismatch:3; missing_key_condition:3; over_answering:3; none:2; unsupported_claim:1,"I need to buy textbooks for Spring 2026 courses. Where should I check the official textbook purchase information, and what details should I not expect the chatbot to know?"
s30_021,curriculum,en,0.7292,1.0,1.5,0.5,1,12,evidence_insufficient:5; unsupported_claim:2; missing_key_condition:2; over_answering:2; language_or_format_failure:1,What are the mandatory courses I need to take after coming to ICU?
s30_022,curriculum,en,0.625,0.6667,1.0833,0.6667,2,12,missing_key_condition:7; unsupported_claim:3; none:2,What is the mandatory course I need to take after entering ICU?
s30_023,curriculum,ja,0.7708,1.25,1.6667,0.5,4,12,missing_key_condition:6; none:3; unsupported_claim:1; language_or_format_failure:1; over_answering:1,ICUに入学した後、必ず履修しなければならない科目は何ですか？どの公式ページを見るべきですか？
s30_024,curriculum,zh,0.5521,0.8333,1.5,1.1667,0,12,language_or_format_failure:6; missing_key_condition:4; unsupported_claim:2,进入ICU以后必须修哪些课程？我应该看哪个官方页面？
s30_025,policy,ja,0.7188,1.3333,1.3333,0.1667,4,12,missing_key_condition:6; none:4; unsupported_claim:1; verbose_low_quality:1,大学の卒論にチャットGPTを使っても大丈夫ですか？
s30_026,policy,en,0.8021,1.25,1.4167,0.1667,3,12,missing_key_condition:6; none:3; verbose_low_quality:1; evidence_insufficient:1; over_answering:1,Can I use ChatGPT for my senior thesis at ICU?
s30_027,policy,zh,0.7604,1.3333,1.75,0.3333,5,12,language_or_format_failure:4; none:4; unsupported_claim:1; over_answering:1; missing_key_condition:1,我可以在ICU的毕业论文里使用ChatGPT吗？如果资料不够，请明确告诉我。
s30_028,course,ja,0.7604,1.25,1.5833,0.4167,6,12,none:5; unsupported_claim:3; missing_key_condition:2; language_or_format_failure:1; verbose_low_quality:1,鏑木先生が担当している授業は何ですか？
s30_029,course,zh,0.7292,1.1667,1.75,0.3333,2,12,language_or_format_failure:8; unsupported_claim:2; none:2,鏑木先生教哪些课？请只根据检索到的ICU课程资料回答。
s30_030,registration,en,0.9167,1.6667,1.9167,0.1667,8,12,none:8; unsupported_claim:2; missing_key_condition:1; language_or_format_failure:1,"After I select courses on the registration website, how can I check whether my registration is actually complete?"
