question_id,question,category,language,avg_human_quality_all_conditions,single_shot_mean_quality,agentic_mean_quality,mean_agentic_delta,median_agentic_delta,paired_model_count,improved_model_count,worsened_model_count,unchanged_model_count,single_shot_blocking_count,agentic_blocking_count,blocking_delta,model_quality_deltas,difficulty_rank,in_hardest_screen
s30_011,"I saw something about Chapel Hour and Christianity Week, but I am not sure whether these are academic events or campus-life events. Where should I check the schedule?",campus_life,en,0.78125,0.875,0.6875,-0.1875,-0.125,6,1,3,2,0,2,2,Qwen 0.8B:-0.250; Gemma E2B:+0.000; Qwen 2B:-0.500; Gemma E4B:+0.125; Qwen 4B:-0.500; Qwen 9B:+0.000,15,no
s30_020,"I need to buy textbooks for Spring 2026 courses. Where should I check the official textbook purchase information, and what details should I not expect the chatbot to know?",course_materials,en,0.78125,0.7291666666666666,0.8333333333333334,0.10416666666666667,0.1875,6,4,1,1,1,0,-1,Qwen 0.8B:+0.000; Gemma E2B:-0.250; Qwen 2B:+0.250; Gemma E4B:+0.250; Qwen 4B:+0.250; Qwen 9B:+0.125,16,no
s30_002,"I missed the normal course registration day because I was sick. Can I still register or change my courses, and what part of the procedure should I pay attention to?",registration,en,0.8020833333333334,0.8125,0.7916666666666666,-0.020833333333333332,0.0,6,2,2,2,0,1,1,Qwen 0.8B:-0.375; Gemma E2B:+0.000; Qwen 2B:+0.000; Gemma E4B:-0.125; Qwen 4B:+0.250; Qwen 9B:+0.125,17,no
s30_009,I am graduating from undergraduate school but continuing to ICU graduate school. What should I know about my IT account or services after graduation?,it,en,0.8020833333333334,0.7708333333333334,0.8333333333333334,0.0625,0.0,6,2,1,3,0,0,0,Qwen 0.8B:+0.250; Gemma E2B:+0.000; Qwen 2B:+0.250; Gemma E4B:+0.000; Qwen 4B:-0.125; Qwen 9B:+0.000,18,no
s30_012,"For Spring 2026, I need to know both the registration period and the advisor interview timing. Which official calendar or registration pages should I check?",calendar,en,0.8020833333333334,0.75,0.8541666666666666,0.10416666666666667,0.0625,6,3,1,2,1,0,-1,Qwen 0.8B:+0.375; Gemma E2B:-0.125; Qwen 2B:+0.250; Gemma E4B:+0.125; Qwen 4B:+0.000; Qwen 9B:+0.000,19,no
s30_015,"If the chatbot answer and the ICU Portal announcement seem different about a deadline, which source should I trust and what should I do next?",policy,en,0.8020833333333334,0.7916666666666666,0.8125,0.020833333333333332,0.0,6,2,2,2,0,0,0,Qwen 0.8B:-0.125; Gemma E2B:+0.000; Qwen 2B:-0.375; Gemma E4B:+0.000; Qwen 4B:+0.500; Qwen 9B:+0.125,20,no
s30_026,Can I use ChatGPT for my senior thesis at ICU?,policy,en,0.8020833333333334,0.75,0.8541666666666666,0.10416666666666667,0.125,6,3,1,2,0,1,1,Qwen 0.8B:-0.125; Gemma E2B:+0.250; Qwen 2B:+0.000; Gemma E4B:+0.250; Qwen 4B:+0.000; Qwen 9B:+0.250,21,no
s30_001,"I'm a new student and I plan to take JLP, but I don't know which Japanese level I will be placed into. How is the level decided, and where should I check the official information?",language,en,0.8125,0.7708333333333334,0.8541666666666666,0.08333333333333333,0.0625,6,3,2,1,1,0,-1,Qwen 0.8B:+0.500; Gemma E2B:-0.250; Qwen 2B:+0.125; Gemma E4B:+0.000; Qwen 4B:+0.375; Qwen 9B:-0.250,22,no
s30_014,履修登録について教育事務グループに確認したいです。連絡先や関連する公式ページはどこで確認できますか？,office,ja,0.8125,0.7916666666666666,0.8333333333333334,0.041666666666666664,0.0,6,2,1,3,1,0,-1,Qwen 0.8B:+0.250; Gemma E2B:+0.000; Qwen 2B:+0.250; Gemma E4B:-0.250; Qwen 4B:+0.000; Qwen 9B:+0.000,23,no
s30_018,MIURA先生って、どの日本語の授業を担当していますか？レベルも少し知りたいです。,course,ja,0.8229166666666666,0.7708333333333334,0.875,0.10416666666666667,0.0625,6,3,0,3,0,0,0,Qwen 0.8B:+0.125; Gemma E2B:+0.375; Qwen 2B:+0.000; Gemma E4B:+0.000; Qwen 4B:+0.125; Qwen 9B:+0.000,24,no
s30_008,"If I need exam accommodations because of a disability or health condition, where should I start, and what kind of official support page should I look for?",student_support,en,0.8333333333333334,0.75,0.9166666666666666,0.16666666666666666,0.25,6,5,1,0,0,0,0,Qwen 0.8B:+0.125; Gemma E2B:+0.250; Qwen 2B:+0.250; Gemma E4B:+0.250; Qwen 4B:+0.250; Qwen 9B:-0.125,25,no
s30_016,"I want to take Logic Programming in Autumn 2026. Who teaches it, when is it scheduled, and where should I check the official course information?",course,en,0.8333333333333334,0.8541666666666666,0.8125,-0.041666666666666664,0.0,6,2,2,2,0,0,0,Qwen 0.8B:+0.125; Gemma E2B:+0.125; Qwen 2B:+0.000; Gemma E4B:-0.250; Qwen 4B:+0.000; Qwen 9B:-0.250,26,no
s30_017,"I remember there is a class called Statistical Information Literacy. How is the grade evaluated, and what kind of work does the syllabus seem to require?",course,en,0.875,0.875,0.875,0.0,0.0,6,1,1,4,1,1,0,Qwen 0.8B:+0.000; Gemma E2B:+0.000; Qwen 2B:-0.125; Gemma E4B:+0.125; Qwen 4B:+0.000; Qwen 9B:+0.000,27,no
s30_019,履修登録サイトで科目を選択したのに登録が完了したか不安です。どの操作や確認をすればよいですか？,registration,ja,0.9166666666666666,0.9583333333333334,0.875,-0.08333333333333333,0.0,6,0,1,5,1,1,0,Qwen 0.8B:-0.500; Gemma E2B:+0.000; Qwen 2B:+0.000; Gemma E4B:+0.000; Qwen 4B:+0.000; Qwen 9B:+0.000,28,no
s30_030,"After I select courses on the registration website, how can I check whether my registration is actually complete?",registration,en,0.9166666666666666,0.8958333333333334,0.9375,0.041666666666666664,0.0,6,2,1,3,0,0,0,Qwen 0.8B:+0.250; Gemma E2B:-0.250; Qwen 2B:+0.250; Gemma E4B:+0.000; Qwen 4B:+0.000; Qwen 9B:+0.000,29,no
s30_013,I transferred credits before entering ICU. Can the system tell me exactly how many more credits I personally need to graduate early?,credits,en,0.9375,1.0,0.875,-0.125,-0.0625,6,0,3,3,0,0,0,Qwen 0.8B:-0.125; Gemma E2B:+0.000; Qwen 2B:+0.000; Gemma E4B:-0.250; Qwen 4B:+0.000; Qwen 9B:-0.375,30,no
