review_id,condition_id,model,model_label,mode,mode_label,question_id,question,category,language,params_b,family,wall_seconds,gpt_human_quality_score,deepseek_human_quality_score,ensemble_human_quality_score,score_abs_diff_mean,score_exact_agreement_count,primary_failure_tag_agreement,gpt_answer_acceptance,gpt_readability,gpt_citation_usefulness,gpt_over_answering_risk,gpt_primary_failure_tag,gpt_secondary_failure_tag,gpt_notes,deepseek_answer_acceptance,deepseek_readability,deepseek_citation_usefulness,deepseek_over_answering_risk,deepseek_primary_failure_tag,deepseek_secondary_failure_tag,deepseek_notes,ensemble_answer_acceptance,ensemble_readability,ensemble_citation_usefulness,ensemble_over_answering_risk,ensemble_clean_pass,two_judge_unanimous_clean_pass,blocking_bad_case,blocking_reasons
s30_review_0011,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_006,"If I take a leave of absence and later return to ICU, what procedure or office information should I check before planning my courses again?",student_status,en,9.0,Qwen3.5,3.341,0.625,0.625,0.625,0.0,4,True,1.0,2.0,1.0,1.0,missing_key_condition,over_answering,Partial CoE and financial information but misses medical-certificate and no-reenrolment rules.,1.0,2.0,1.0,1.0,missing_key_condition,unsupported_claim,"The answer omits the key re-enrolment procedure change and the physician's certificate deadline for illness-related leave, and adds unsupported advice about informing faculty of return.",1.0,2.0,1.0,1.0,False,False,False,
s30_review_0012,condition_2d6f542a,Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,s30_006,"If I take a leave of absence and later return to ICU, what procedure or office information should I check before planning my courses again?",student_status,en,9.0,Qwen3.5,16.848,0.625,0.625,0.625,0.5,2,True,1.0,1.0,2.0,1.0,unsupported_claim,missing_key_condition,"Contains useful EAG, medical, and CoE information but adds obsolete or irrelevant procedures.",1.0,2.0,1.0,1.0,unsupported_claim,none,"The answer incorrectly states that a reenrollment application must be submitted, contradicting the evidence that the reenrollment procedure is no longer required from AY2024 Autumn, and it mislabels the deadlines as reenrollment deadlines instead of medical certificate submission deadlines.",1.0,1.5,1.5,1.0,False,False,False,
s30_review_0013,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_007,"I feel overwhelmed and want to talk to someone, but I am worried about privacy. Where can I find official information about counseling or student support at ICU?",student_support,en,9.0,Qwen3.5,6.36,0.625,0.625,0.625,0.5,2,True,1.0,1.0,2.0,1.0,over_answering,verbose_low_quality,Overloads external hotlines and misses the privacy limitation.,1.0,2.0,1.0,1.0,over_answering,citation_mismatch,"The answer lists many resources but includes several external services (e.g., Mitaka City hotline, Biblenders, Tokyo Suicide Prevention Center) not clearly identified as ICU official support, and fails to address the user's privacy concern despite the evidence not providing privacy details.",1.0,1.5,1.5,1.0,False,False,False,
s30_review_0014,condition_2d6f542a,Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,s30_007,"I feel overwhelmed and want to talk to someone, but I am worried about privacy. Where can I find official information about counseling or student support at ICU?",student_support,en,9.0,Qwen3.5,7.948,0.5,0.625,0.5625,0.25,3,False,1.0,2.0,1.0,2.0,over_answering,unsupported_claim,Claims privacy or anonymous consultation not established by the retrieved evidence.,1.0,2.0,1.0,1.0,unsupported_claim,citation_mismatch,The answer correctly points to the ICU Counseling Center but incorrectly claims anonymous phone consultations are offered there and misattributes the internal-only site reference to the ICU Campus Life & Career page instead of the Counseling Center page.,1.0,2.0,1.0,1.5,False,False,False,
s30_review_0015,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_008,"If I need exam accommodations because of a disability or health condition, where should I start, and what kind of official support page should I look for?",student_support,en,9.0,Qwen3.5,2.386,0.75,1.0,0.875,0.5,2,False,1.0,2.0,1.0,0.0,missing_key_condition,citation_mismatch,Omits application-process details and misnames the support page.,2.0,2.0,2.0,0.0,none,none,"The answer correctly identifies the starting points and official support page based on the retrieved evidence, is clear and concise, and provides appropriate citations.",1.5,2.0,1.5,0.0,True,False,False,
s30_review_0016,condition_2d6f542a,Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,s30_008,"If I need exam accommodations because of a disability or health condition, where should I start, and what kind of official support page should I look for?",student_support,en,9.0,Qwen3.5,11.318,0.625,1.0,0.8125,0.75,1,False,1.0,2.0,1.0,1.0,unsupported_claim,missing_key_condition,Misidentifies the official page as syllabus sections.,2.0,2.0,2.0,0.0,none,none,"The answer is accurate, well-structured, and fully supported by the retrieved evidence, with clear citations and no unsupported claims.",1.5,2.0,1.5,0.5,True,False,False,
s30_review_0017,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_009,I am graduating from undergraduate school but continuing to ICU graduate school. What should I know about my IT account or services after graduation?,it,en,9.0,Qwen3.5,2.976,1.0,1.0,1.0,0.0,4,True,2.0,2.0,2.0,0.0,none,none,"Covers expiration, forwarding, backup, and new account.",2.0,2.0,2.0,0.0,none,none,"The answer accurately summarizes the key points from the retrieved evidence, is clearly written, and properly cites the relevant sources.",2.0,2.0,2.0,0.0,True,True,False,
s30_review_0018,condition_2d6f542a,Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,s30_009,I am graduating from undergraduate school but continuing to ICU graduate school. What should I know about my IT account or services after graduation?,it,en,9.0,Qwen3.5,10.866,1.0,1.0,1.0,0.0,4,True,2.0,2.0,2.0,0.0,none,none,"Covers expiration, forwarding, backup, and new account.",2.0,2.0,2.0,0.0,none,none,"The answer accurately summarizes key points from the retrieved evidence, is clearly structured, and provides proper citations.",2.0,2.0,2.0,0.0,True,True,False,
s30_review_0019,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_010,日本語プログラムを履修したいのですが、JLPのレベル分けや履修方法について、どこで公式情報を確認できますか？,language,ja,9.0,Qwen3.5,5.11,0.75,0.5,0.625,0.5,2,False,1.0,2.0,2.0,1.0,unsupported_claim,missing_key_condition,Gives a wrong JLP email and omits first-class reassessment.,1.0,1.0,1.0,1.0,citation_mismatch,unsupported_claim,回答は有用だが、JLP主任への直接問い合わせ先を誤って記載し、CEFR指標の言及がレベル分け方法の主な説明として不適切で、証拠[1]のPT情報を軽視している。,1.0,1.5,1.5,1.0,False,False,False,
s30_review_0020,condition_2d6f542a,Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,s30_010,日本語プログラムを履修したいのですが、JLPのレベル分けや履修方法について、どこで公式情報を確認できますか？,language,ja,9.0,Qwen3.5,15.091,0.75,1.0,0.875,0.5,2,False,1.0,2.0,2.0,1.0,missing_key_condition,over_answering,Clear but omits first-class reassessment and contact guidance.,2.0,2.0,2.0,0.0,none,none,回答は質問に正確に答え、公式情報の確認先を明示し、引用も適切で、安全かつ有用です。,1.5,2.0,2.0,0.5,True,False,False,
s30_review_0021,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_011,"I saw something about Chapel Hour and Christianity Week, but I am not sure whether these are academic events or campus-life events. Where should I check the schedule?",campus_life,en,9.0,Qwen3.5,3.819,1.0,1.0,1.0,0.0,4,True,2.0,2.0,2.0,0.0,none,none,"Identifies religious or campus-life nature, optional participation, and schedule sources.",2.0,2.0,2.0,0.0,none,none,"The answer correctly identifies the events as campus-life/religious activities, provides accurate details from the evidence, and directs the user to the university calendar and Religious Center website for schedules.",2.0,2.0,2.0,0.0,True,True,False,
s30_review_0022,condition_2d6f542a,Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,s30_011,"I saw something about Chapel Hour and Christianity Week, but I am not sure whether these are academic events or campus-life events. Where should I check the schedule?",campus_life,en,9.0,Qwen3.5,10.901,1.0,0.625,0.8125,0.75,1,False,2.0,2.0,2.0,0.0,none,none,Gives campus-life classification and relevant schedule places.,1.0,2.0,1.0,1.0,unsupported_claim,citation_mismatch,"The answer correctly identifies Chapel Hour as a campus-life event and points to the ehandbook, but it incorrectly claims the ehandbook contains the specific C-Week schedule, which is not supported by the cited evidence.",1.5,2.0,1.5,0.5,True,False,False,
s30_review_0023,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_012,"For Spring 2026, I need to know both the registration period and the advisor interview timing. Which official calendar or registration pages should I check?",calendar,en,9.0,Qwen3.5,5.918,1.0,1.0,1.0,0.0,4,True,2.0,2.0,2.0,0.0,none,none,Covers notice/calendar sources and correct timings.,2.0,2.0,2.0,0.0,none,none,"The answer accurately extracts and presents the registration and advisor interview timings from the retrieved evidence, with clear citations and no unsupported claims.",2.0,2.0,2.0,0.0,True,True,False,
s30_review_0024,condition_2d6f542a,Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,s30_012,"For Spring 2026, I need to know both the registration period and the advisor interview timing. Which official calendar or registration pages should I check?",calendar,en,9.0,Qwen3.5,12.296,1.0,1.0,1.0,0.0,4,True,2.0,2.0,2.0,0.0,none,none,Covers timing and late-registration fee/procedure.,2.0,2.0,2.0,0.0,none,none,"The answer accurately extracts and clearly presents the registration and advisor interview dates from the retrieved evidence, with proper citations and no unsupported claims.",2.0,2.0,2.0,0.0,True,True,False,
s30_review_0025,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_013,I transferred credits before entering ICU. Can the system tell me exactly how many more credits I personally need to graduate early?,credits,en,9.0,Qwen3.5,2.312,1.0,1.0,1.0,0.0,4,True,2.0,2.0,2.0,0.0,none,none,Correctly says no exact personal calculation is available.,2.0,2.0,2.0,0.0,none,none,"The answer correctly states the system cannot calculate personal remaining credits, aligns with the evidence that transfer credit confirmation is post-procedural, and avoids unsupported claims.",2.0,2.0,2.0,0.0,True,True,False,
s30_review_0026,condition_2d6f542a,Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,s30_013,I transferred credits before entering ICU. Can the system tell me exactly how many more credits I personally need to graduate early?,credits,en,9.0,Qwen3.5,12.906,0.625,0.75,0.6875,0.25,3,False,1.0,2.0,2.0,2.0,over_answering,unsupported_claim,Gives an unsupported 130-minus-transfer-credits calculation.,1.0,2.0,2.0,1.0,unsupported_claim,none,"The answer correctly states no calculator exists but oversimplifies the calculation by implying a simple subtraction, ignoring that transfer credits are not confirmed until after entry and that requirements vary by language proficiency.",1.0,2.0,2.0,1.5,False,False,False,
s30_review_0027,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_014,履修登録について教育事務グループに確認したいです。連絡先や関連する公式ページはどこで確認できますか？,office,ja,9.0,Qwen3.5,3.795,1.0,1.0,1.0,0.0,4,True,2.0,2.0,2.0,0.0,none,none,Gives contact and relevant official pages/procedures.,2.0,2.0,2.0,0.0,none,none,回答は正確で、引用も適切に付与されており、学生にとって有用な情報が簡潔にまとめられている。,2.0,2.0,2.0,0.0,True,True,False,
s30_review_0028,condition_2d6f542a,Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,s30_014,履修登録について教育事務グループに確認したいです。連絡先や関連する公式ページはどこで確認できますか？,office,ja,9.0,Qwen3.5,11.998,1.0,1.0,1.0,0.0,4,True,2.0,2.0,2.0,0.0,none,none,Concise contact and e-handbook guidance.,2.0,2.0,2.0,0.0,none,none,回答は正確で、連絡先と公式ページを適切に示し、引用も有効です。,2.0,2.0,2.0,0.0,True,True,False,
s30_review_0029,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_015,"If the chatbot answer and the ICU Portal announcement seem different about a deadline, which source should I trust and what should I do next?",policy,en,9.0,Qwen3.5,3.132,0.875,0.75,0.8125,0.25,3,False,1.0,2.0,2.0,0.0,missing_key_condition,none,Properly states limits but does not tell the user to verify the Portal deadline.,1.0,2.0,1.0,0.0,evidence_insufficient,none,"The answer correctly states the evidence is insufficient and summarizes relevant portal procedures, but it does not provide a clear next step like the reference answer suggests.",1.0,2.0,1.5,0.0,False,False,False,
s30_review_0030,condition_2d6f542a,Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,s30_015,"If the chatbot answer and the ICU Portal announcement seem different about a deadline, which source should I trust and what should I do next?",policy,en,9.0,Qwen3.5,11.391,1.0,0.75,0.875,0.5,2,False,2.0,2.0,2.0,0.0,none,none,Cautious and identifies Portal notices as the deadline source.,1.0,2.0,1.0,0.0,evidence_insufficient,none,"The answer correctly states the evidence lacks a direct policy on conflicts, but it fails to explicitly recommend verifying the deadline via the Portal as the next step, which the reference answer suggests.",1.5,2.0,1.5,0.0,True,False,False,
s30_review_0031,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_016,"I want to take Logic Programming in Autumn 2026. Who teaches it, when is it scheduled, and where should I check the official course information?",course,en,9.0,Qwen3.5,3.178,1.0,1.0,1.0,0.0,4,True,2.0,2.0,2.0,0.0,none,none,Complete and well cited.,2.0,2.0,2.0,0.0,none,none,"The answer accurately extracts instructor, schedule, and mode from the evidence, and provides a plausible official URL based on the registration number, though the URL itself is not directly cited in the evidence.",2.0,2.0,2.0,0.0,True,True,False,
s30_review_0032,condition_2d6f542a,Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,s30_016,"I want to take Logic Programming in Autumn 2026. Who teaches it, when is it scheduled, and where should I check the official course information?",course,en,9.0,Qwen3.5,10.022,0.75,0.625,0.6875,0.25,3,True,1.0,2.0,2.0,1.0,unsupported_claim,none,Incorrectly directs to Moodle rather than the course or syllabus record.,1.0,2.0,1.0,1.0,unsupported_claim,citation_mismatch,"The answer correctly identifies instructor and schedule but incorrectly claims Moodle is the official source based on evidence that only mentions ICU Net ID for certain fields, not Moodle.",1.0,2.0,1.5,1.0,False,False,False,
s30_review_0033,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_017,"I remember there is a class called Statistical Information Literacy. How is the grade evaluated, and what kind of work does the syllabus seem to require?",course,en,9.0,Qwen3.5,3.651,1.0,1.0,1.0,0.0,4,True,2.0,2.0,2.0,0.0,none,none,Complete and term-specific.,2.0,2.0,2.0,0.0,none,none,"The answer accurately summarizes grading and syllabus content for both sections using the provided evidence, is clearly structured, and cites relevant sources.",2.0,2.0,2.0,0.0,True,True,False,
s30_review_0034,condition_2d6f542a,Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,s30_017,"I remember there is a class called Statistical Information Literacy. How is the grade evaluated, and what kind of work does the syllabus seem to require?",course,en,9.0,Qwen3.5,14.007,1.0,1.0,1.0,0.0,4,True,2.0,2.0,2.0,0.0,none,none,Complete and clearly split by term.,2.0,2.0,2.0,0.0,none,none,"The answer accurately summarizes grading and syllabus details for both terms using the provided evidence, with clear structure and proper citations.",2.0,2.0,2.0,0.0,True,True,False,
s30_review_0035,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_018,MIURA先生って、どの日本語の授業を担当していますか？レベルも少し知りたいです。,course,ja,9.0,Qwen3.5,3.346,1.0,1.0,1.0,0.0,4,True,2.0,2.0,2.0,0.0,none,none,"Clear and accurate, excluding non-Japanese Miura.",2.0,2.0,2.0,0.0,none,none,回答は検索結果に基づき、MIURA先生の日本語授業とレベルを正確かつ簡潔に説明し、中英語の情報も適切に除外している。,2.0,2.0,2.0,0.0,True,True,False,
s30_review_0036,condition_2d6f542a,Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,s30_018,MIURA先生って、どの日本語の授業を担当していますか？レベルも少し知りたいです。,course,ja,9.0,Qwen3.5,13.398,1.0,1.0,1.0,0.0,4,True,2.0,2.0,2.0,0.0,none,none,Lists courses and gives J2 and Special Kanji context.,2.0,2.0,2.0,0.0,none,none,回答は検索された証拠に基づいて正確に三浦先生の担当科目とレベルを列挙し、明瞭で学生向けの形式で提示されている。,2.0,2.0,2.0,0.0,True,True,False,
s30_review_0037,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_019,履修登録サイトで科目を選択したのに登録が完了したか不安です。どの操作や確認をすればよいですか？,registration,ja,9.0,Qwen3.5,5.285,1.0,1.0,1.0,0.0,4,True,2.0,2.0,2.0,0.0,none,none,Complete and clear.,2.0,2.0,2.0,0.0,none,none,回答はエビデンスに基づき、登録確認の手順を明確かつ簡潔に説明しており、学生にとって安全で有用です。,2.0,2.0,2.0,0.0,True,True,False,
s30_review_0038,condition_2d6f542a,Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,s30_019,履修登録サイトで科目を選択したのに登録が完了したか不安です。どの操作や確認をすればよいですか？,registration,ja,9.0,Qwen3.5,11.331,1.0,1.0,1.0,0.0,4,True,2.0,2.0,2.0,0.0,none,none,"Covers selection not enough, approval, Registration Result, and SAVE.",2.0,2.0,2.0,0.0,none,none,回答は証拠に基づき、アドバイザー承認と登録結果確認の必要性を明確に説明し、SAVEボタンの注意喚起も含めて安全かつ有用である。,2.0,2.0,2.0,0.0,True,True,False,
s30_review_0039,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_020,"I need to buy textbooks for Spring 2026 courses. Where should I check the official textbook purchase information, and what details should I not expect the chatbot to know?",course_materials,en,9.0,Qwen3.5,5.425,0.875,1.0,0.9375,0.25,3,False,2.0,2.0,2.0,1.0,over_answering,none,Complete with minor extrapolation about chatbot access.,2.0,2.0,2.0,0.0,other,none,"The answer is safe, accurate, cites relevant sources, and correctly identifies the limits of the chatbot's knowledge without adding any harmful speculation.",2.0,2.0,2.0,0.5,True,False,False,
s30_review_0040,condition_2d6f542a,Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,s30_020,"I need to buy textbooks for Spring 2026 courses. Where should I check the official textbook purchase information, and what details should I not expect the chatbot to know?",course_materials,en,9.0,Qwen3.5,9.938,1.0,1.0,1.0,0.0,4,True,2.0,2.0,2.0,0.0,none,none,Complete and clearly directs to the official guide.,2.0,2.0,2.0,0.0,none,none,"The answer accurately summarizes the retrieved evidence, clearly states what the chatbot cannot provide, and directs the user to the official guide, making it safe and useful.",2.0,2.0,2.0,0.0,True,True,False,
s30_review_0041,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_021,What are the mandatory courses I need to take after coming to ICU?,curriculum,en,9.0,Qwen3.5,1.541,0.625,0.625,0.625,0.0,4,False,1.0,2.0,0.0,0.0,evidence_insufficient,citation_mismatch,Cautious but does not identify any available requirements.,1.0,2.0,0.0,0.0,retrieval_miss,none,"The model correctly states the evidence is insufficient, but the retrieved evidence does contain a mention of a required course (Introduction to Christianity) which the model missed, making the answer partly useful but incomplete.",1.0,2.0,0.0,0.0,False,False,False,
s30_review_0042,condition_2d6f542a,Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,s30_021,What are the mandatory courses I need to take after coming to ICU?,curriculum,en,9.0,Qwen3.5,15.617,0.875,0.625,0.75,0.5,2,False,2.0,2.0,2.0,1.0,over_answering,none,Covers key requirements but also adds broader thesis and GE claims.,1.0,2.0,1.0,1.0,unsupported_claim,none,"The answer incorrectly presents the graduation research thesis as a mandatory course, which is not supported by the retrieved evidence and contradicts the reference's note that it is not a course requirement.",1.5,2.0,1.5,1.0,False,False,False,
s30_review_0043,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_022,What is the mandatory course I need to take after entering ICU?,curriculum,en,9.0,Qwen3.5,1.446,0.5,0.625,0.5625,0.25,3,False,0.0,2.0,0.0,0.0,missing_key_condition,evidence_insufficient,Fails to provide the mandatory course and lacks citations.,1.0,2.0,0.0,0.0,retrieval_miss,none,"The model correctly states the evidence is insufficient, but the retrieved evidence actually contains a mandatory course (GEX001 Introduction to Christianity) which the model missed, making the answer partly useful but incomplete.",0.5,2.0,0.0,0.0,False,False,True,gpt_acceptance_0
s30_review_0044,condition_2d6f542a,Qwen/Qwen3.5-9B,Qwen3.5 9B,agentic,agentic,s30_022,What is the mandatory course I need to take after entering ICU?,curriculum,en,9.0,Qwen3.5,10.831,1.0,1.0,1.0,0.0,4,True,2.0,2.0,2.0,0.0,none,none,Correctly identifies Introduction to Christianity.,2.0,2.0,2.0,0.0,none,none,"The answer correctly identifies the mandatory course from the evidence, is concise and student-friendly, and the citation supports the key claim without extrapolation.",2.0,2.0,2.0,0.0,True,True,False,
s30_review_0045,condition_44a5acc4,Qwen/Qwen3.5-9B,Qwen3.5 9B,single_shot,single-shot,s30_023,ICUに入学した後、必ず履修しなければならない科目は何ですか？どの公式ページを見るべきですか？,curriculum,ja,9.0,Qwen3.5,6.127,1.0,0.75,0.875,0.5,2,False,2.0,2.0,2.0,0.0,none,none,Covers PE and language requirements with official pages.,1.0,2.0,2.0,1.0,evidence_insufficient,none,回答は保健体育と語学の必修科目を正しく引用しているが、入学後に必ず履修する全科目の完全な一覧は証拠から断定できず、部分的にしか答えられていない。,1.5,2.0,2.0,0.5,True,False,False,
